Frames,CPU_freq,CPU_cores_percent,memory,cache_miss,instructions,cycles,temperature,swap,core_demand,RAM_demand,cpi,time
40,1200,0.8,85,14961491,1756876588,1322575638,49,32012,1.4,90,0.752799398,19.03614681
40,1200,0.8,90,14264694,1754929320,1319369830,49,0,1.4,90,0.751807959,17.7767607
40,1200,1,70,15042024,1763229260,1340545365,49,44236,1.4,90,0.760278539,23.38183653
40,1200,1,75,15591297,1761372983,1371321634,49,36524,1.4,90,0.778552667,21.98942891
40,1200,1,80,15299404,1755874625,1341963924,49,33804,1.4,90,0.764270925,18.90520874
40,1200,1,85,15775304,1759336360,1372825212,49,14148,1.4,90,0.780308555,18.62649376
40,1200,1,90,14329022,1755997349,1319035864,49,29964,1.4,90,0.75116051,16.46006602
40,1200,1.2,70,15274657,1758770493,1328642287,49,43720,1.4,90,0.755438127,22.50553045
40,1200,1.2,75,15245923,1756587234,1338885642,49,40204,1.4,90,0.762208455,20.14223006
40,1200,1.2,80,15238730,1756112616,1342620575,49,34560,1.4,90,0.764541273,18.24451124
40,1200,1.2,85,15290662,1759639798,1343157728,50,12616,1.4,90,0.76331402,18.10896861
40,1200,1.2,90,14546270,1755773132,1337919681,49,0,1.4,90,0.762011707,15.80430547
40,1200,1.4,70,14983266,1758366296,1335597813,50,44492,1.4,90,0.759567455,21.85171019
40,1200,1.4,75,15197807,1758814053,1349905802,50,36268,1.4,90,0.767509106,20.33417881
40,1200,1.4,80,15048801,1755930238,1370233898,50,30096,1.4,90,0.780346433,18.79932964
40,1200,1.4,85,14907884,1759336994,1330593163,49,6412,1.4,90,0.756303748,17.44287777
40,1200,1.4,90,14928394,1756781861,1333822202,49,524,1.4,90,0.759241788,15.31669841
40,1200,1.6,70,15508664,1761853909,1329457562,50,42240,1.4,90,0.754578774,21.85832813
40,1200,1.6,75,15346487,1758618427,1341105296,49,36268,1.4,90,0.762590267,19.62752481
40,1200,1.6,80,15332947,1758101309,1345727565,50,40108,1.4,90,0.765443697,18.4454799
40,1200,1.6,85,14670806,1757692773,1325316070,50,10568,1.4,90,0.754008943,17.05425722
40,1200,1.6,90,15102041,1755470786,1370651831,49,0,1.4,90,0.780788744,14.87161173
40,1400,0.2,70,16986988,1765709184,1390582750,49,39844,1.4,90,0.78754914,39.08528406
40,1400,0.2,75,17262222,1766662820,1396307517,49,28544,1.4,90,0.790364466,39.1619684
40,1400,0.2,80,16752212,1765801436,1385780150,49,18012,1.4,90,0.784788211,37.84642932
40,1400,0.2,85,16633196,1765229251,1380501744,49,12872,1.4,90,0.782052384,35.93942988
40,1400,0.2,90,16607260,1762168651,1381179090,49,0,1.4,90,0.783795064,33.64149696
40,1400,0.4,70,16080116,1762335792,1383132835,49,44496,1.4,90,0.784829339,28.22571061
40,1400,0.4,75,15440905,1761395186,1384277776,49,26240,1.4,90,0.785898467,26.58319439
40,1400,0.4,80,15030438,1758919074,1368827881,49,17164,1.4,90,0.778221068,25.28998627
40,1400,0.4,85,14814931,1760593157,1373760890,49,13580,1.4,90,0.780282988,22.85773018
40,1400,0.4,90,14957812,1758319940,1349786012,49,0,1.4,90,0.76765666,21.98930859
40,1400,0.6,70,15674237,1759138536,1378111836,49,51172,1.4,90,0.783401539,23.8118436
40,1400,0.6,75,15567335,1759823106,1387895568,49,37540,1.4,90,0.788656294,24.20988098
40,1400,0.6,80,14249930,1758817491,1329910225,49,39948,1.4,90,0.756138844,20.26893785
40,1400,0.6,85,15489815,1758576220,1396445671,49,10568,1.4,90,0.794077422,20.63717171
40,1400,0.6,90,15236745,1756263525,1375475242,50,0,1.4,90,0.783182719,18.21301826
40,1400,0.8,70,15367371,1759657100,1344338038,49,40100,1.4,90,0.763977276,22.88247603
40,1400,0.8,75,15111001,1758553592,1351945644,49,30864,1.4,90,0.768782737,21.47706084
40,1400,0.8,80,14414982,1760184490,1372864667,49,15964,1.4,90,0.779954985,19.82477821
40,1400,0.8,85,14812473,1757213987,1371105836,50,21004,1.4,90,0.780272549,18.66769591
40,1400,0.8,90,14608728,1757399884,1358393658,49,0,1.4,90,0.772956497,16.50533765
40,1400,1,70,15843759,1758884395,1418591391,50,46296,1.4,90,0.806529068,21.33921464
40,1400,1,75,15064896,1757358185,1358891655,50,37900,1.4,90,0.773258216,19.78113712
40,1400,1,80,14272341,1761139430,1428420372,50,40716,1.4,90,0.81107739,18.04691203
40,1400,1,85,14642569,1755905438,1346722286,50,7212,1.4,90,0.766967433,17.94853059
40,1400,1,90,14675196,1754386047,1342706564,49,0,1.4,90,0.765342706,15.58781306
40,1400,1.2,70,15060966,1758413518,1338805984,49,53748,1.4,90,0.761371526,22.05941027
40,1400,1.2,75,15008219,1759914385,1363967973,50,40460,1.4,90,0.775019504,19.43197327
40,1400,1.2,80,15279374,1758426709,1375026339,50,33548,1.4,90,0.781963975,17.38370715
40,1400,1.2,85,14578162,1756462574,1366154159,49,13312,1.4,90,0.777787229,16.62325974
40,1400,1.2,90,14521587,1755195630,1344246481,50,0,1.4,90,0.76586704,14.78378334
