Frames,CPU_freq,CPU_cores_percent,memory,cache_miss,instructions,cycles,temperature,swap,core_demands,RAM_demands,cpi,time
40,1600,0.8,70,13107716,1748477447,1306957621,27.8,43276,1.4,90,0.747483259,11.88923479
40,1600,0.8,75,13180526,1741222641,1295779745,27.8,21616,1.4,90,0.744178093,10.7553662
40,1600,0.8,80,13254314,1740265935,1293620814,27.8,13068,1.4,90,0.743346628,10.40260264
40,1600,0.8,85,12920513,1742502195,1300174515,27.8,17164,1.4,90,0.746153732,10.41452269
40,1600,0.8,90,13517715,1744063549,1307805200,27.8,0,1.4,90,0.749860979,10.15515347
40,1600,1,70,12901320,1742133971,1302362578,27.8,42252,1.4,90,0.747567409,10.6513102
40,1600,1,75,13797079,1739976273,1299783743,27.8,24708,1.4,90,0.747012338,10.02385069
40,1600,1,80,13165524,1740521622,1295599377,27.8,28032,1.4,90,0.744374193,9.760506665
40,1600,1,85,12899653,1740612810,1298079576,27.8,5388,1.4,90,0.745760096,9.392803226
40,1600,1,90,13255766,1740975923,1305801188,27.8,0,1.4,90,0.750039774,8.885815408
40,1600,1.2,70,13307111,1748812411,1297557084,27.8,43720,1.4,90,0.741964705,10.65583338
40,1600,1.2,75,13063978,1742248438,1297989638,27.8,42156,1.4,90,0.745008352,9.227328731
40,1600,1.2,80,13077984,1742980897,1294749482,27.8,19328,1.4,90,0.742836301,10.12871478
40,1600,1.2,85,12589021,1739144550,1298460270,27.8,15484,1.4,90,0.746608596,8.842945379
40,1600,1.2,90,13721606,1741645076,1304194579,27.8,0,1.4,90,0.748829137,8.399599393
40,1600,1.4,70,13390338,1746866410,1306575525,27.8,43532,1.4,90,0.747953889,9.977247025
40,1600,1.4,75,12603494,1740832197,1298943049,27.8,18176,1.4,90,0.746162124,8.861024586
40,1600,1.4,80,12874783,1742600350,1293698389,27.8,17996,1.4,90,0.742395346,8.744299412
40,1600,1.4,85,12801279,1740823816,1289772927,27.8,13640,1.4,90,0.740898025,8.625611793
40,1600,1.4,90,12848664,1741335556,1288806543,27.8,0,1.4,90,0.740125324,7.881109865
40,1600,1.6,70,13258916,1744800193,1304877896,27.8,40880,1.4,90,0.747866662,9.507562575
40,1600,1.6,75,13230306,1741229952,1300091491,27.8,21644,1.4,90,0.746651233,9.014548311
40,1600,1.6,80,12873163,1741432560,1293739559,27.8,10764,1.4,90,0.742916831,8.839528561
40,1600,1.6,85,12937795,1740219530,1290055656,27.8,16460,1.4,90,0.741317767,8.092067348
40,1600,1.6,90,12989325,1741359928,1295682784,27.8,0,1.4,90,0.744063742,7.816969869
40,2000,0.2,70,15075794,1747922372,1356370375,27.8,33936,1.4,90,0.775990054,24.48233075
40,2000,0.2,75,14162628,1748415966,1335116316,27.8,22636,1.4,90,0.763614804,23.39019165
40,2000,0.2,80,14627745,1747284675,1336152401,27.8,10600,1.4,90,0.764702181,23.8129616
40,2000,0.2,85,14654083,1747272707,1341706132,27.8,16468,1.4,90,0.767885933,23.14663788
40,2000,0.2,90,14430260,1746124537,1329129733,27.8,0,1.4,90,0.761188395,22.50298116
40,2000,0.4,70,13772150,1746089854,1318545297,27.8,42680,1.4,90,0.755141721,14.29088193
40,2000,0.4,75,13468486,1740685428,1312880206,27.8,29060,1.4,90,0.754231744,13.85202355
40,2000,0.4,80,13381568,1745380937,1313222944,27.8,16992,1.4,90,0.752399041,13.95073242
40,2000,0.4,85,13606055,1743086253,1315157217,27.8,5672,1.4,90,0.754499219,14.53579887
40,2000,0.4,90,13223854,1742544331,1312815951,27.8,0,1.4,90,0.753390274,13.38303339
40,2000,0.6,70,13390382,1744108189,1316128186,27.8,36256,1.4,90,0.754613845,11.09837859
40,2000,0.6,75,13454312,1740761208,1312732807,27.8,20236,1.4,90,0.754114235,11.02812728
40,2000,0.6,80,13096636,1742314539,1306809306,27.8,11788,1.4,90,0.750042129,10.80337095
40,2000,0.6,85,13001964,1741837413,1308920110,27.8,16720,1.4,90,0.751459407,10.63296017
40,2000,0.6,90,13390911,1741356363,1312636933,27.8,0,1.4,90,0.753801439,10.20823757
40,2000,0.8,70,13068294,1740954616,1309617186,27.8,40104,1.4,90,0.752240853,10.22630412
40,2000,0.8,75,12991716,1740348785,1303520349,27.8,27268,1.4,90,0.748999488,9.228162856
40,2000,0.8,80,13159280,1743684780,1308939941,27.8,15116,1.4,90,0.750674638,9.185039416
40,2000,0.8,85,13083956,1741046085,1307540744,27.8,5388,1.4,90,0.751008693,9.057411633
40,2000,0.8,90,12804586,1739292957,1303979361,27.8,0,1.4,90,0.749718071,8.6785406
40,2000,1,70,13113044,1743813538,1311399170,27.8,40460,1.4,90,0.75202947,8.853956511
40,2000,1,75,13221435,1740251928,1306343570,27.8,28544,1.4,90,0.750663481,8.850691546
40,2000,1,80,13094333,1740024705,1310994716,27.8,10508,1.4,90,0.753434542,8.073484543
40,2000,1,85,13021696,1740571719,1308994190,27.8,18176,1.4,90,0.752048408,9.926392476
40,2000,1,90,13096584,1740982808,1313083391,27.8,0,1.4,90,0.754219619,7.802683598
40,2000,1.2,70,12900716,1740556710,1309184253,27.8,41996,1.4,90,0.752164089,8.401030459
40,2000,1.2,75,12971406,1740227235,1305101464,27.8,28032,1.4,90,0.749960372,8.155021035
40,2000,1.2,80,13017793,1740774845,1307485976,27.8,18176,1.4,90,0.75109425,8.380338335
40,2000,1.2,85,12589207,1738657153,1303902264,27.8,5644,1.4,90,0.74994789,7.536502095
40,2000,1.2,90,13030547,1740282054,1304394968,27.8,0,1.4,90,0.749530782,7.25843955
40,2000,1.4,70,13112299,1742159506,1305745968,27.8,56576,1.4,90,0.749498518,9.612007294
40,2000,1.4,75,13121351,1740806840,1308695448,27.8,19980,1.4,90,0.751775222,7.770400012
40,2000,1.4,80,12919042,1742063525,1307597542,27.8,19544,1.4,90,0.750602675,8.139064946
40,2000,1.4,85,13071545,1740692470,1306649737,27.8,5388,1.4,90,0.750649388,8.004266775
40,2000,1.4,90,12548777,1739814041,1296714082,27.8,0,1.4,90,0.745317632,7.002555211
40,2000,1.6,70,12719151,1740649952,1299700370,27.8,40204,1.4,90,0.746675326,8.344074635
40,2000,1.6,75,12846281,1739836783,1312042158,27.8,25732,1.4,90,0.754117956,7.742421223
40,2000,1.6,80,13118265,1740441358,1305709044,27.8,19724,1.4,90,0.750217201,7.578261829
40,2000,1.6,85,13245451,1744427448,1306887595,27.8,5644,1.4,90,0.749178532,8.251010891
40,2000,1.6,90,13008081,1743750865,1306098159,27.8,0,1.4,90,0.749016494,7.375288791
40,2400,0.2,70,13696553,1747003199,1341557197,27.8,41468,1.4,90,0.767919142,21.31132245
40,2400,0.2,75,14030821,1745695274,1343077834,27.8,27776,1.4,90,0.769365567,20.01913306
40,2400,0.2,80,13974041,1744688946,1346478951,27.8,11276,1.4,90,0.771758745,20.02813867
40,2400,0.2,85,13666365,1746071196,1341389333,27.8,5388,1.4,90,0.768232897,20.19324524
40,2400,0.2,90,13807249,1746355817,1335373936,27.8,0,1.4,90,0.764663148,19.52243399
40,2400,0.4,70,13422617,1744045488,1327897917,27.8,34456,1.4,90,0.761389497,13.07274978
40,2400,0.4,75,13447796,1740527066,1328780665,27.8,29184,1.4,90,0.763435795,12.25721345
40,2400,0.4,80,13103782,1742287143,1326744041,27.8,19560,1.4,90,0.761495627,12.30356165
40,2400,0.4,85,13054523,1744956864,1321147533,27.8,13892,1.4,90,0.757123319,12.00780049
40,2400,0.4,90,12942009,1743013499,1322960801,27.8,0,1.4,90,0.759007777,11.94115961
40,2400,0.6,70,13314867,1741993462,1333924352,27.8,45500,1.4,90,0.7657459,11.05978442
40,2400,0.6,75,12869749,1743094639,1338493452,27.8,24576,1.4,90,0.767883408,11.31155233
40,2400,0.6,80,13087757,1740356829,1320787779,27.8,19304,1.4,90,0.758917802,10.35858727
40,2400,0.6,85,13455119,1746641174,1331694989,27.8,8248,1.4,90,0.762431923,10.42787776
40,2400,0.6,90,13188472,1744425052,1321942746,27.8,0,1.4,90,0.757809998,9.302181458
40,2400,0.8,70,13112051,1741645605,1322575163,27.8,42752,1.4,90,0.759382482,9.872630272
40,2400,0.8,75,13025962,1741332070,1336656714,27.8,24844,1.4,90,0.767605867,9.725450379
40,2400,0.8,80,12790655,1741081107,1321125990,27.8,13924,1.4,90,0.758796351,9.020326233
40,2400,0.8,85,12734723,1738831444,1318950949,27.8,26496,1.4,90,0.758527201,8.858948826
40,2400,0.8,90,12515457,1740397573,1322265521,27.8,0,1.4,90,0.759749118,8.135965728
40,2400,1,70,12754176,1743002922,1319320089,27.8,40620,1.4,90,0.756923624,9.661286995
40,2400,1,75,12893773,1741578027,1326882574,27.8,36772,1.4,90,0.761885229,9.563727043
40,2400,1,80,12298342,1738629371,1317684057,27.8,10508,1.4,90,0.757886689,7.822608001
40,2400,1,85,12710027,1744585476,1315412881,27.8,11092,1.4,90,0.753997382,8.583578364
40,2400,1,90,12752511,1741277313,1318423672,27.8,0,1.4,90,0.757158933,7.662713388
40,2400,1.2,70,12806423,1741878603,1322157384,27.8,37388,1.4,90,0.759041062,8.535373585
40,2400,1.2,75,12493482,1741749243,1316327161,27.8,16208,1.4,90,0.755750098,8.121382906
40,2400,1.2,80,12714098,1740691751,1319159258,27.8,19300,1.4,90,0.757836221,7.997643303
40,2400,1.2,85,12864374,1741609802,1315264906,27.8,4876,1.4,90,0.75520068,7.804057368
40,2400,1.2,90,12726100,1742587926,1325875507,27.8,0,1.4,90,0.760865772,7.327335146
40,2400,1.4,70,12973319,1742554699,1322839878,27.8,40900,1.4,90,0.759138223,8.587538083
40,2400,1.4,75,12951500,1742719965,1321329492,27.8,24320,1.4,90,0.758199549,7.879145454
40,2400,1.4,80,13349597,1742824812,1328479508,27.8,21772,1.4,90,0.762256481,8.31010082
40,2400,1.4,85,12911547,1740365114,1338096658,27.8,16720,1.4,90,0.768859734,7.478100694
40,2400,1.4,90,12972299,1741888586,1325345745,27.8,0,1.4,90,0.760867116,6.796953183
40,2400,1.6,70,13102143,1742685757,1325634081,27.8,51180,1.4,90,0.760684521,9.099028991
40,2400,1.6,75,14244629,1743065163,1389867155,27.8,23660,1.4,90,0.79736959,8.14383467
40,2400,1.6,80,12789243,1742794314,1318038111,27.8,22372,1.4,90,0.756278639,8.220066235
40,2400,1.6,85,12683698,1742338707,1321737227,27.8,17152,1.4,90,0.758599474,7.516601047
40,2400,1.6,90,13352799,1741939320,1336445676,27.8,0,1.4,90,0.767217124,7.221501881
40,2800,0.2,70,14340948,1747343657,1359056998,27.8,47316,1.4,90,0.777784606,19.05290235
40,2800,0.2,75,14337929,1752741002,1351543410,27.8,38312,1.4,90,0.771102752,18.14590993
40,2800,0.2,80,13900172,1747931197,1353919082,27.8,21864,1.4,90,0.774583739,17.85927828
40,2800,0.2,85,13818696,1747298069,1349332479,27.8,5160,1.4,90,0.772239438,18.13985369
40,2800,0.2,90,14081100,1744349058,1347477632,27.8,0,1.4,90,0.772481646,17.31605786
